estrutura time amostra
LSM 26470 1000
LSM 23327 1000
LSM 23606 1000
LSM 26331 1000
LSM 25212 1000
LSM 25772 1000
LSM 24654 1000
LSM 23537 1000
LSM 37296 1000
LSM 24724 1000
LSM 20673 1000
LSM 50914 1000
LSM 24793 1000
LSM 19556 1000
LSM 24095 1000
LSM 20115 1000
LSM 25282 1000
LSM 31009 1000
LSM 25701 1000
LSM 20254 1000
LSM 26959 1000
LSM 20533 1000
LSM 21581 1000
LSM 17949 1000
LSM 18299 1000
LSM 24305 1000
LSM 59086 1000
LSM 26260 1000
LSM 26400 1000
LSM 38622 1000
LSM 23048 1000
LSM 26191 1000
LSM 20044 1000
LSM 18647 1000
LSM 19626 1000
LSM 20533 1000
LSM 40997 1000
LSM 22000 1000
LSM 25841 1000
LSM 28077 1000
LSM 62857 1000
LSM 20603 1000
LSM 21930 1000
LSM 23816 1000
LSM 24794 1000
LSM 21441 1000
LSM 25283 1000
LSM 26191 1000
LSM 25283 1000
LSM 25283 1000
LSM 42324 1000
LSM 53429 1000
LSM 21860 1000
LSM 23676 1000
LSM 27727 1000
LSM 23047 1000
LSM 48749 1000
LSM 22000 1000
LSM 23885 1000
LSM 22489 1000
LSM 24794 1000
LSM 21301 1000
LSM 23467 1000
LSM 22908 1000
LSM 28635 1000
LSM 21372 1000
LSM 38064 1000
LSM 22419 1000
LSM 29543 1000
LSM 22000 1000
LSM 21302 1000
LSM 24794 1000
LSM 21372 1000
LSM 24375 1000
LSM 30102 1000
LSM 21582 1000
LSM 246750 1000
LSM 23956 1000
LSM 19137 1000
LSM 42463 1000
LSM 19905 1000
LSM 23956 1000
LSM 53149 1000
LSM 21162 1000
LSM 22908 1000
LSM 32407 1000
LSM 19975 1000
LSM 20743 1000
LSM 18229 1000
LSM 20394 1000
LSM 26190 1000
LSM 20464 1000
LSM 22000 1000
LSM 22768 1000
LSM 16693 1000
LSM 23746 1000
LSM 18997 1000
LSM 19625 1000
LSM 24235 1000
LSM 18788 1000
LSM 17111 1000
LSM 18020 1000
LSM 17251 1000
LSM 18508 1000
LSM 16203 1000
LSM 15785 1000
LSM 14737 1000
LSM 20045 1000
LSM 19346 1000
LSM 26191 1000
LSM 19486 1000
LSM 21721 1000
LSM 20952 1000
LSM 21511 1000
LSM 19974 1000
LSM 20952 1000
LSM 15365 1000
LSM 29124 1000
LSM 24654 1000
LSM 24794 1000
LSM 22698 1000
